"FinancialYear","HBR","HBRQF","AgeGroup","Sex","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF"
"1997/98","S92000003","d","0-17 years","Male","Total","d",780," ","133.93"," ",695," ","119.33"," "
"1997/98","S92000003","d","0-17 years","Female","Total","d",715," ","128.15"," ",610," ","109.33"," "
"1997/98","S92000003","d","18-24 years","Male","Total","d",2020," ","913.05"," ",1365," ","616.99"," "
"1997/98","S92000003","d","18-24 years","Female","Total","d",1310," ","589.16"," ",860," ","386.78"," "
"1997/98","S92000003","d","25-39 years","Male","Total","d",6450," ","1123.62"," ",4240," ","738.63"," "
"1997/98","S92000003","d","25-39 years","Female","Total","d",4895," ","816.79"," ",3055," ","509.77"," "
"1997/98","S92000003","d","40-64 years","Male","Total","d",7280," ","968.46"," ",4925," ","655.17"," "
"1997/98","S92000003","d","40-64 years","Female","Total","d",5395," ","686.97"," ",3650," ","464.77"," "
"1997/98","S92000003","d","65plus years","Male","Total","d",5085," ","1624.95"," ",3400," ","1086.49"," "
"1997/98","S92000003","d","65plus years","Female","Total","d",7860," ","1650.94"," ",5570," ","1169.94"," "
"1998/99","S92000003","d","0-17 years","Male","Total","d",780," ","134.98"," ",700," ","121.13"," "
"1998/99","S92000003","d","0-17 years","Female","Total","d",715," ","129.31"," ",585," ","105.8"," "
"1998/99","S92000003","d","18-24 years","Male","Total","d",1900," ","871.51"," ",1300," ","596.3"," "
"1998/99","S92000003","d","18-24 years","Female","Total","d",1360," ","619.8"," ",890," ","405.6"," "
"1998/99","S92000003","d","25-39 years","Male","Total","d",6515," ","1150.9"," ",4265," ","753.43"," "
"1998/99","S92000003","d","25-39 years","Female","Total","d",4895," ","824.29"," ",3145," ","529.6"," "
"1998/99","S92000003","d","40-64 years","Male","Total","d",7165," ","941.19"," ",4885," ","641.69"," "
"1998/99","S92000003","d","40-64 years","Female","Total","d",5480," ","689.26"," ",3750," ","471.67"," "
"1998/99","S92000003","d","65plus years","Male","Total","d",5185," ","1642.14"," ",3520," ","1114.82"," "
"1998/99","S92000003","d","65plus years","Female","Total","d",7900," ","1656.77"," ",5595," ","1173.37"," "
"1999/00","S92000003","d","0-17 years","Male","Total","d",735," ","128.47"," ",655," ","114.49"," "
"1999/00","S92000003","d","0-17 years","Female","Total","d",660," ","120.6"," ",565," ","103.24"," "
"1999/00","S92000003","d","18-24 years","Male","Total","d",2125," ","970.54"," ",1470," ","671.39"," "
"1999/00","S92000003","d","18-24 years","Female","Total","d",1245," ","565.64"," ",850," ","386.18"," "
"1999/00","S92000003","d","25-39 years","Male","Total","d",6585," ","1184.95"," ",4200," ","755.78"," "
"1999/00","S92000003","d","25-39 years","Female","Total","d",4485," ","765.49"," ",2950," ","503.5"," "
"1999/00","S92000003","d","40-64 years","Male","Total","d",7530," ","976.14"," ",5030," ","652.06"," "
"1999/00","S92000003","d","40-64 years","Female","Total","d",5545," ","688.46"," ",3840," ","476.77"," "
"1999/00","S92000003","d","65plus years","Male","Total","d",5055," ","1587.9"," ",3395," ","1066.45"," "
"1999/00","S92000003","d","65plus years","Female","Total","d",7305," ","1532.32"," ",5235," ","1098.11"," "
"2000/01","S92000003","d","0-17 years","Male","Total","d",735," ","129.63"," ",650," ","114.64"," "
"2000/01","S92000003","d","0-17 years","Female","Total","d",575," ","106.28"," ",515," ","95.19"," "
"2000/01","S92000003","d","18-24 years","Male","Total","d",2090," ","954"," ",1405," ","641.32"," "
"2000/01","S92000003","d","18-24 years","Female","Total","d",1220," ","554.89"," ",855," ","388.88"," "
"2000/01","S92000003","d","25-39 years","Male","Total","d",6465," ","1191.06"," ",4125," ","759.96"," "
"2000/01","S92000003","d","25-39 years","Female","Total","d",4635," ","803.34"," ",2920," ","506.09"," "
"2000/01","S92000003","d","40-64 years","Male","Total","d",7520," ","962.57"," ",5050," ","646.4"," "
"2000/01","S92000003","d","40-64 years","Female","Total","d",5510," ","675.65"," ",3760," ","461.06"," "
"2000/01","S92000003","d","65plus years","Male","Total","d",4745," ","1474.39"," ",3140," ","975.67"," "
"2000/01","S92000003","d","65plus years","Female","Total","d",7020," ","1469.68"," ",4980," ","1042.59"," "
"2001/02","S92000003","d","0-17 years","Male","Total","d",720," ","128.1"," ",620," ","110.31"," "
"2001/02","S92000003","d","0-17 years","Female","Total","d",625," ","116.7"," ",530," ","98.97"," "
"2001/02","S92000003","d","18-24 years","Male","Total","d",2020," ","915.51"," ",1335," ","605.05"," "
"2001/02","S92000003","d","18-24 years","Female","Total","d",1130," ","514.22"," ",790," ","359.5"," "
"2001/02","S92000003","d","25-39 years","Male","Total","d",6425," ","1207.72"," ",3995," ","750.95"," "
"2001/02","S92000003","d","25-39 years","Female","Total","d",4515," ","795.79"," ",2880," ","507.61"," "
"2001/02","S92000003","d","40-64 years","Male","Total","d",7400," ","933.96"," ",4995," ","630.43"," "
"2001/02","S92000003","d","40-64 years","Female","Total","d",5950," ","719.17"," ",3915," ","473.2"," "
"2001/02","S92000003","d","65plus years","Male","Total","d",4630," ","1417.16"," ",3115," ","953.44"," "
"2001/02","S92000003","d","65plus years","Female","Total","d",6675," ","1389.26"," ",4740," ","986.53"," "
"2002/03","S92000003","d","0-17 years","Male","Total","d",620," ","111.44"," ",520," ","93.46"," "
"2002/03","S92000003","d","0-17 years","Female","Total","d",585," ","110.12"," ",495," ","93.18"," "
"2002/03","S92000003","d","18-24 years","Male","Total","d",1795," ","800.65"," ",1215," ","541.94"," "
"2002/03","S92000003","d","18-24 years","Female","Total","d",1220," ","546.84"," ",835," ","374.27"," "
"2002/03","S92000003","d","25-39 years","Male","Total","d",6170," ","1187.32"," ",3975," ","764.93"," "
"2002/03","S92000003","d","25-39 years","Female","Total","d",4355," ","784.59"," ",2795," ","503.54"," "
"2002/03","S92000003","d","40-64 years","Male","Total","d",7445," ","925.51"," ",5120," ","636.48"," "
"2002/03","S92000003","d","40-64 years","Female","Total","d",5880," ","700.75"," ",3960," ","471.93"," "
"2002/03","S92000003","d","65plus years","Male","Total","d",4670," ","1410.91"," ",3185," ","962.26"," "
"2002/03","S92000003","d","65plus years","Female","Total","d",6555," ","1360.32"," ",4720," ","979.52"," "
"2003/04","S92000003","d","0-17 years","Male","Total","d",545," ","99.19"," ",480," ","87.36"," "
"2003/04","S92000003","d","0-17 years","Female","Total","d",545," ","103.72"," ",455," ","86.59"," "
"2003/04","S92000003","d","18-24 years","Male","Total","d",1785," ","781.89"," ",1175," ","514.69"," "
"2003/04","S92000003","d","18-24 years","Female","Total","d",1135," ","499.71"," ",780," ","343.41"," "
"2003/04","S92000003","d","25-39 years","Male","Total","d",5990," ","1175.57"," ",3860," ","757.54"," "
"2003/04","S92000003","d","25-39 years","Female","Total","d",4100," ","755.68"," ",2670," ","492.11"," "
"2003/04","S92000003","d","40-64 years","Male","Total","d",7580," ","929.74"," ",5140," ","630.46"," "
"2003/04","S92000003","d","40-64 years","Female","Total","d",5960," ","699.32"," ",4085," ","479.31"," "
"2003/04","S92000003","d","65plus years","Male","Total","d",4565," ","1360.55"," ",3200," ","953.73"," "
"2003/04","S92000003","d","65plus years","Female","Total","d",6800," ","1407.85"," ",4705," ","974.11"," "
"2004/05","S92000003","d","0-17 years","Male","Total","d",475," ","87.15"," ",410," ","75.23"," "
"2004/05","S92000003","d","0-17 years","Female","Total","d",450," ","86.27"," ",385," ","73.81"," "
"2004/05","S92000003","d","18-24 years","Male","Total","d",1780," ","773.88"," ",1160," ","504.32"," "
"2004/05","S92000003","d","18-24 years","Female","Total","d",1080," ","468.25"," ",720," ","312.16"," "
"2004/05","S92000003","d","25-39 years","Male","Total","d",5710," ","1134.95"," ",3715," ","738.42"," "
"2004/05","S92000003","d","25-39 years","Female","Total","d",4015," ","752.36"," ",2560," ","479.71"," "
"2004/05","S92000003","d","40-64 years","Male","Total","d",7745," ","935.43"," ",5135," ","620.2"," "
"2004/05","S92000003","d","40-64 years","Female","Total","d",5905," ","681.07"," ",4005," ","461.93"," "
"2004/05","S92000003","d","65plus years","Male","Total","d",4335," ","1273.11"," ",3030," ","889.85"," "
"2004/05","S92000003","d","65plus years","Female","Total","d",6080," ","1254.24"," ",4440," ","915.93"," "
"2005/06","S92000003","d","0-17 years","Male","Total","d",455," ","83.94"," ",405," ","74.72"," "
"2005/06","S92000003","d","0-17 years","Female","Total","d",450," ","86.84"," ",365," ","70.44"," "
"2005/06","S92000003","d","18-24 years","Male","Total","d",1510," ","649.51"," ",990," ","425.84"," "
"2005/06","S92000003","d","18-24 years","Female","Total","d",1040," ","442.99"," ",700," ","298.17"," "
"2005/06","S92000003","d","25-39 years","Male","Total","d",5455," ","1092.23"," ",3535," ","707.8"," "
"2005/06","S92000003","d","25-39 years","Female","Total","d",3580," ","678.72"," ",2340," ","443.63"," "
"2005/06","S92000003","d","40-64 years","Male","Total","d",7740," ","919.45"," ",5180," ","615.34"," "
"2005/06","S92000003","d","40-64 years","Female","Total","d",5855," ","664.06"," ",3895," ","441.76"," "
"2005/06","S92000003","d","65plus years","Male","Total","d",4130," ","1195.35"," ",2955," ","855.27"," "
"2005/06","S92000003","d","65plus years","Female","Total","d",5895," ","1210.94"," ",4310," ","885.35"," "
"2006/07","S92000003","d","0-17 years","Male","Total","d",460," ","85.47"," ",415," ","77.11"," "
"2006/07","S92000003","d","0-17 years","Female","Total","d",440," ","85.49"," ",365," ","70.92"," "
"2006/07","S92000003","d","18-24 years","Male","Total","d",1405," ","597.87"," ",975," ","414.9"," "
"2006/07","S92000003","d","18-24 years","Female","Total","d",1000," ","421.82"," ",650," ","274.18"," "
"2006/07","S92000003","d","25-39 years","Male","Total","d",5205," ","1046.06"," ",3320," ","667.23"," "
"2006/07","S92000003","d","25-39 years","Female","Total","d",3460," ","661.8"," ",2205," ","421.76"," "
"2006/07","S92000003","d","40-64 years","Male","Total","d",7975," ","933.07"," ",5255," ","614.83"," "
"2006/07","S92000003","d","40-64 years","Female","Total","d",5705," ","637.3"," ",3835," ","428.4"," "
"2006/07","S92000003","d","65plus years","Male","Total","d",4260," ","1218.57"," ",3025," ","865.3"," "
"2006/07","S92000003","d","65plus years","Female","Total","d",6055," ","1240.31"," ",4255," ","871.59"," "
"2007/08","S92000003","d","0-17 years","Male","Total","d",470," ","87.27"," ",420," ","77.98"," "
"2007/08","S92000003","d","0-17 years","Female","Total","d",490," ","95.24"," ",425," ","82.61"," "
"2007/08","S92000003","d","18-24 years","Male","Total","d",1430," ","602.74"," ",995," ","419.39"," "
"2007/08","S92000003","d","18-24 years","Female","Total","d",1010," ","423"," ",685," ","286.88"," "
"2007/08","S92000003","d","25-39 years","Male","Total","d",5395," ","1085.64"," ",3405," ","685.19"," "
"2007/08","S92000003","d","25-39 years","Female","Total","d",3525," ","676.64"," ",2275," ","436.7"," "
"2007/08","S92000003","d","40-64 years","Male","Total","d",8410," ","968.38"," ",5375," ","618.91"," "
"2007/08","S92000003","d","40-64 years","Female","Total","d",5940," ","653.81"," ",3910," ","430.37"," "
"2007/08","S92000003","d","65plus years","Male","Total","d",4315," ","1214.38"," ",3000," ","844.3"," "
"2007/08","S92000003","d","65plus years","Female","Total","d",5625," ","1146.31"," ",4045," ","824.33"," "
"2008/09","S92000003","d","0-17 years","Male","Total","d",445," ","82.73"," ",370," ","68.79"," "
"2008/09","S92000003","d","0-17 years","Female","Total","d",455," ","88.45"," ",375," ","72.9"," "
"2008/09","S92000003","d","18-24 years","Male","Total","d",1290," ","536.48"," ",905," ","376.37"," "
"2008/09","S92000003","d","18-24 years","Female","Total","d",1025," ","425.03"," ",710," ","294.41"," "
"2008/09","S92000003","d","25-39 years","Male","Total","d",5355," ","1080.75"," ",3390," ","684.17"," "
"2008/09","S92000003","d","25-39 years","Female","Total","d",3465," ","669.71"," ",2310," ","446.47"," "
"2008/09","S92000003","d","40-64 years","Male","Total","d",8660," ","985.38"," ",5585," ","635.49"," "
"2008/09","S92000003","d","40-64 years","Female","Total","d",5880," ","639.47"," ",4015," ","436.64"," "
"2008/09","S92000003","d","65plus years","Male","Total","d",4360," ","1202.36"," ",3090," ","852.13"," "
"2008/09","S92000003","d","65plus years","Female","Total","d",5635," ","1138.06"," ",4025," ","812.9"," "
"2009/10","S92000003","d","0-17 years","Male","Total","d",410," ","76.16"," ",340," ","63.16"," "
"2009/10","S92000003","d","0-17 years","Female","Total","d",385," ","74.85"," ",315," ","61.24"," "
"2009/10","S92000003","d","18-24 years","Male","Total","d",1270," ","523.99"," ",900," ","371.33"," "
"2009/10","S92000003","d","18-24 years","Female","Total","d",975," ","401"," ",695," ","285.84"," "
"2009/10","S92000003","d","25-39 years","Male","Total","d",4755," ","964.14"," ",3130," ","634.65"," "
"2009/10","S92000003","d","25-39 years","Female","Total","d",3270," ","636.48"," ",2145," ","417.51"," "
"2009/10","S92000003","d","40-64 years","Male","Total","d",8205," ","924.85"," ",5315," ","599.09"," "
"2009/10","S92000003","d","40-64 years","Female","Total","d",5705," ","614.13"," ",3855," ","414.98"," "
"2009/10","S92000003","d","65plus years","Male","Total","d",4230," ","1140.5"," ",2975," ","802.12"," "
"2009/10","S92000003","d","65plus years","Female","Total","d",5545," ","1109.7"," ",3910," ","782.49"," "
"2010/11","S92000003","d","0-17 years","Male","Total","d",345," ","64.49"," ",290," ","54.21"," "
"2010/11","S92000003","d","0-17 years","Female","Total","d",425," ","83.24"," ",335," ","65.61"," "
"2010/11","S92000003","d","18-24 years","Male","Total","d",1230," ","497.2"," ",885," ","357.74"," "
"2010/11","S92000003","d","18-24 years","Female","Total","d",910," ","365.65"," ",640," ","257.16"," "
"2010/11","S92000003","d","25-39 years","Male","Total","d",4830," ","980.14"," ",3105," ","630.09"," "
"2010/11","S92000003","d","25-39 years","Female","Total","d",3340," ","651.65"," ",2135," ","416.55"," "
"2010/11","S92000003","d","40-64 years","Male","Total","d",8175," ","913.54"," ",5165," ","577.18"," "
"2010/11","S92000003","d","40-64 years","Female","Total","d",5370," ","572.49"," ",3590," ","382.73"," "
"2010/11","S92000003","d","65plus years","Male","Total","d",4600," ","1216.19"," ",3060," ","809.03"," "
"2010/11","S92000003","d","65plus years","Female","Total","d",5985," ","1187.52"," ",4035," ","800.61"," "
"2011/12","S92000003","d","0-17 years","Male","Total","d",345," ","64.65"," ",300," ","56.22"," "
"2011/12","S92000003","d","0-17 years","Female","Total","d",400," ","78.67"," ",325," ","63.92"," "
"2011/12","S92000003","d","18-24 years","Male","Total","d",1255," ","498.09"," ",885," ","351.24"," "
"2011/12","S92000003","d","18-24 years","Female","Total","d",895," ","353.56"," ",630," ","248.87"," "
"2011/12","S92000003","d","25-39 years","Male","Total","d",4880," ","986.85"," ",3060," ","618.8"," "
"2011/12","S92000003","d","25-39 years","Female","Total","d",3310," ","646.82"," ",2105," ","411.35"," "
"2011/12","S92000003","d","40-64 years","Male","Total","d",8695," ","962.72"," ",5335," ","590.7"," "
"2011/12","S92000003","d","40-64 years","Female","Total","d",5710," ","602.98"," ",3715," ","392.3"," "
"2011/12","S92000003","d","65plus years","Male","Total","d",4820," ","1245.29"," ",3115," ","804.79"," "
"2011/12","S92000003","d","65plus years","Female","Total","d",6290," ","1235.01"," ",4070," ","799.13"," "
"2012/13","S92000003","d","0-17 years","Male","Total","d",345," ","64.89"," ",260," ","48.9"," "
"2012/13","S92000003","d","0-17 years","Female","Total","d",495," ","97.73"," ",380," ","75.02"," "
"2012/13","S92000003","d","18-24 years","Male","Total","d",1215," ","481.54"," ",850," ","336.88"," "
"2012/13","S92000003","d","18-24 years","Female","Total","d",955," ","377.87"," ",630," ","249.28"," "
"2012/13","S92000003","d","25-39 years","Male","Total","d",4520," ","918.06"," ",2860," ","580.89"," "
"2012/13","S92000003","d","25-39 years","Female","Total","d",3090," ","605.98"," ",2010," ","394.18"," "
"2012/13","S92000003","d","40-64 years","Male","Total","d",8380," ","933.21"," ",5280," ","587.99"," "
"2012/13","S92000003","d","40-64 years","Female","Total","d",5710," ","604.63"," ",3660," ","387.55"," "
"2012/13","S92000003","d","65plus years","Male","Total","d",5020," ","1245.75"," ",3225," ","800.31"," "
"2012/13","S92000003","d","65plus years","Female","Total","d",6530," ","1249.11"," ",4170," ","797.67"," "
"2013/14","S92000003","d","0-17 years","Male","Total","d",370," ","69.86"," ",290," ","54.75"," "
"2013/14","S92000003","d","0-17 years","Female","Total","d",520," ","102.92"," ",380," ","75.21"," "
"2013/14","S92000003","d","18-24 years","Male","Total","d",1175," ","468.29"," ",855," ","340.76"," "
"2013/14","S92000003","d","18-24 years","Female","Total","d",1010," ","404.3"," ",670," ","268.2"," "
"2013/14","S92000003","d","25-39 years","Male","Total","d",4725," ","954.13"," ",2945," ","594.69"," "
"2013/14","S92000003","d","25-39 years","Female","Total","d",3025," ","591.19"," ",1880," ","367.42"," "
"2013/14","S92000003","d","40-64 years","Male","Total","d",8780," ","980.32"," ",5420," ","605.16"," "
"2013/14","S92000003","d","40-64 years","Female","Total","d",5910," ","626.97"," ",3715," ","394.11"," "
"2013/14","S92000003","d","65plus years","Male","Total","d",5350," ","1288.33"," ",3295," ","793.47"," "
"2013/14","S92000003","d","65plus years","Female","Total","d",6755," ","1270.62"," ",4035," ","758.99"," "
"2014/15","S92000003","d","0-17 years","Male","Total","d",350," ","66.27"," ",275," ","52.07"," "
"2014/15","S92000003","d","0-17 years","Female","Total","d",525," ","104.06"," ",385," ","76.31"," "
"2014/15","S92000003","d","18-24 years","Male","Total","d",1165," ","467.72"," ",805," ","323.19"," "
"2014/15","S92000003","d","18-24 years","Female","Total","d",1055," ","426.24"," ",675," ","272.72"," "
"2014/15","S92000003","d","25-39 years","Male","Total","d",4950," ","990.79"," ",2925," ","585.47"," "
"2014/15","S92000003","d","25-39 years","Female","Total","d",2970," ","574.92"," ",1815," ","351.34"," "
"2014/15","S92000003","d","40-64 years","Male","Total","d",9090," ","1018.24"," ",5240," ","586.97"," "
"2014/15","S92000003","d","40-64 years","Female","Total","d",5960," ","633.4"," ",3590," ","381.53"," "
"2014/15","S92000003","d","65plus years","Male","Total","d",5855," ","1371.27"," ",3355," ","785.76"," "
"2014/15","S92000003","d","65plus years","Female","Total","d",7530," ","1390.65"," ",4290," ","792.28"," "
"2015/16","S92000003","d","0-17 years","Male","Total","d",415," ","78.68"," ",330," ","62.57"," "
"2015/16","S92000003","d","0-17 years","Female","Total","d",520," ","103.24"," ",370," ","73.46"," "
"2015/16","S92000003","d","18-24 years","Male","Total","d",1335," ","536.5"," ",900," ","361.68"," "
"2015/16","S92000003","d","18-24 years","Female","Total","d",1060," ","428.47"," ",675," ","272.85"," "
"2015/16","S92000003","d","25-39 years","Male","Total","d",5020," ","987.69"," ",2960," ","582.38"," "
"2015/16","S92000003","d","25-39 years","Female","Total","d",3105," ","592.94"," ",1850," ","353.28"," "
"2015/16","S92000003","d","40-64 years","Male","Total","d",9870," ","1108.66"," ",5420," ","608.81"," "
