"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S92000003","d",1,"SMR04"," ","10470"," ","981.04"," ","7025"," ","658.24"," ","2175"," ","203.8"," "
"1997/98","S92000003","d",2,"SMR04"," ","7750"," ","756.74"," ","5250"," ","512.63"," ","1655"," ","161.6"," "
"1997/98","S92000003","d",3,"SMR04"," ","5735"," ","563.9"," ","3985"," ","391.83"," ","1350"," ","132.74"," "
"1997/98","S92000003","d",4,"SMR04"," ","4160"," ","419.17"," ","2920"," ","294.23"," ","1440"," ","145.1"," "
"1997/98","S92000003","d",5,"SMR04"," ","3375"," ","343.5"," ","2365"," ","240.71"," ","900"," ","91.6"," "
"1998/99","S92000003","d",1,"SMR04"," ","10455"," ","992.49"," ","7105"," ","674.48"," ","2000"," ","189.86"," "
"1998/99","S92000003","d",2,"SMR04"," ","7545"," ","738.86"," ","5100"," ","499.43"," ","1590"," ","155.7"," "
"1998/99","S92000003","d",3,"SMR04"," ","5560"," ","548.8"," ","3920"," ","386.93"," ","1225"," ","120.91"," "
"1998/99","S92000003","d",4,"SMR04"," ","4400"," ","441.11"," ","3110"," ","311.79"," ","1365"," ","136.84"," "
"1998/99","S92000003","d",5,"SMR04"," ","3315"," ","334.21"," ","2345"," ","236.42"," ","855"," ","86.2"," "
"1999/00","S92000003","d",1,"SMR04"," ","10015"," ","965.95"," ","6890"," ","664.55"," ","1820"," ","175.54"," "
"1999/00","S92000003","d",2,"SMR04"," ","7435"," ","730.08"," ","5030"," ","493.92"," ","1495"," ","146.8"," "
"1999/00","S92000003","d",3,"SMR04"," ","5625"," ","555.4"," ","3915"," ","386.56"," ","1205"," ","118.98"," "
"1999/00","S92000003","d",4,"SMR04"," ","4390"," ","437.6"," ","3070"," ","306.02"," ","1285"," ","128.09"," "
"1999/00","S92000003","d",5,"SMR04"," ","3035"," ","303.27"," ","2200"," ","219.83"," ","800"," ","79.94"," "
"2000/01","S92000003","d",1,"SMR04"," ","9405"," ","920.88"," ","6435"," ","630.08"," ","1735"," ","169.88"," "
"2000/01","S92000003","d",2,"SMR04"," ","7435"," ","732.8"," ","5045"," ","497.24"," ","1440"," ","141.93"," "
"2000/01","S92000003","d",3,"SMR04"," ","5495"," ","543.2"," ","3795"," ","375.15"," ","1185"," ","117.14"," "
"2000/01","S92000003","d",4,"SMR04"," ","4490"," ","445.58"," ","3065"," ","304.17"," ","1225"," ","121.57"," "
"2000/01","S92000003","d",5,"SMR04"," ","2995"," ","297.19"," ","2125"," ","210.86"," ","755"," ","74.92"," "
"2001/02","S92000003","d",1,"SMR04"," ","9540"," ","941.91"," ","6310"," ","623"," ","1670"," ","164.88"," "
"2001/02","S92000003","d",2,"SMR04"," ","7225"," ","713.5"," ","4920"," ","485.87"," ","1380"," ","136.28"," "
"2001/02","S92000003","d",3,"SMR04"," ","5525"," ","545.7"," ","3790"," ","374.33"," ","1135"," ","112.1"," "
"2001/02","S92000003","d",4,"SMR04"," ","4135"," ","408.36"," ","2915"," ","287.87"," ","1145"," ","113.08"," "
"2001/02","S92000003","d",5,"SMR04"," ","2935"," ","289.54"," ","2090"," ","206.18"," ","720"," ","71.03"," "
"2002/03","S92000003","d",1,"SMR04"," ","9250"," ","924.4"," ","6360"," ","635.59"," ","1585"," ","158.4"," "
"2002/03","S92000003","d",2,"SMR04"," ","6980"," ","690.79"," ","4855"," ","480.49"," ","1360"," ","134.6"," "
"2002/03","S92000003","d",3,"SMR04"," ","5310"," ","522.42"," ","3670"," ","361.07"," ","1065"," ","104.78"," "
"2002/03","S92000003","d",4,"SMR04"," ","4100"," ","402.08"," ","2925"," ","286.85"," ","1065"," ","104.44"," "
"2002/03","S92000003","d",5,"SMR04"," ","2930"," ","287.6"," ","2090"," ","205.15"," ","660"," ","64.78"," "
"2003/04","S92000003","d",1,"SMR04"," ","8930"," ","900.14"," ","6265"," ","631.51"," ","1465"," ","147.67"," "
"2003/04","S92000003","d",2,"SMR04"," ","6765"," ","670.68"," ","4740"," ","469.92"," ","1295"," ","128.39"," "
"2003/04","S92000003","d",3,"SMR04"," ","5285"," ","518.96"," ","3680"," ","361.36"," ","1040"," ","102.12"," "
"2003/04","S92000003","d",4,"SMR04"," ","3955"," ","384.43"," ","2865"," ","278.48"," ","1055"," ","102.55"," "
"2003/04","S92000003","d",5,"SMR04"," ","2805"," ","274.84"," ","2035"," ","199.4"," ","695"," ","68.1"," "
"2004/05","S92000003","d",1,"SMR04"," ","8995"," ","881.75"," ","6260"," ","613.64"," ","1455"," ","142.63"," "
"2004/05","S92000003","d",2,"SMR04"," ","6620"," ","648.89"," ","4640"," ","454.81"," ","1305"," ","127.92"," "
"2004/05","S92000003","d",3,"SMR04"," ","4830"," ","474.69"," ","3420"," ","336.11"," ","1085"," ","106.63"," "
"2004/05","S92000003","d",4,"SMR04"," ","3890"," ","382.92"," ","2745"," ","270.21"," ","835"," ","82.2"," "
"2004/05","S92000003","d",5,"SMR04"," ","2570"," ","254.31"," ","1865"," ","184.55"," ","590"," ","58.38"," "
"2005/06","S92000003","d",1,"SMR04"," ","8885"," ","869.31"," ","6140"," ","600.74"," ","1370"," ","134.04"," "
"2005/06","S92000003","d",2,"SMR04"," ","6180"," ","602.76"," ","4440"," ","433.05"," ","1205"," ","117.53"," "
"2005/06","S92000003","d",3,"SMR04"," ","4605"," ","448.54"," ","3290"," ","320.45"," ","1045"," ","101.79"," "
"2005/06","S92000003","d",4,"SMR04"," ","3480"," ","339.72"," ","2525"," ","246.49"," ","795"," ","77.61"," "
"2005/06","S92000003","d",5,"SMR04"," ","2480"," ","245.11"," ","1770"," ","174.93"," ","570"," ","56.33"," "
"2006/07","S92000003","d",1,"SMR04"," ","8245"," ","804.97"," ","5775"," ","563.82"," ","1335"," ","130.34"," "
"2006/07","S92000003","d",2,"SMR04"," ","5815"," ","564.43"," ","4105"," ","398.45"," ","1130"," ","109.68"," "
"2006/07","S92000003","d",3,"SMR04"," ","4585"," ","443.55"," ","3265"," ","315.85"," ","980"," ","94.8"," "
"2006/07","S92000003","d",4,"SMR04"," ","3225"," ","312.49"," ","2325"," ","225.28"," ","815"," ","78.97"," "
"2006/07","S92000003","d",5,"SMR04"," ","2335"," ","230.54"," ","1735"," ","171.3"," ","530"," ","52.33"," "
"2007/08","S92000003","d",1,"SMR04"," ","8010"," ","767.41"," ","5620"," ","538.43"," ","1225"," ","117.36"," "
"2007/08","S92000003","d",2,"SMR04"," ","5900"," ","567.34"," ","4145"," ","398.58"," ","1035"," ","99.52"," "
"2007/08","S92000003","d",3,"SMR04"," ","4130"," ","398.32"," ","3035"," ","292.71"," ","970"," ","93.55"," "
"2007/08","S92000003","d",4,"SMR04"," ","3220"," ","312.41"," ","2345"," ","227.51"," ","735"," ","71.31"," "
"2007/08","S92000003","d",5,"SMR04"," ","2215"," ","217.43"," ","1680"," ","164.91"," ","475"," ","46.63"," "
"2008/09","S92000003","d",1,"SMR04"," ","8100"," ","772"," ","5895"," ","561.84"," ","1190"," ","113.42"," "
"2008/09","S92000003","d",2,"SMR04"," ","5840"," ","558.1"," ","4215"," ","402.81"," ","1010"," ","96.52"," "
"2008/09","S92000003","d",3,"SMR04"," ","4075"," ","389.2"," ","3140"," ","299.9"," ","870"," ","83.09"," "
"2008/09","S92000003","d",4,"SMR04"," ","3090"," ","296.78"," ","2360"," ","226.67"," ","645"," ","61.95"," "
"2008/09","S92000003","d",5,"SMR04"," ","2065"," ","202.64"," ","1605"," ","157.5"," ","460"," ","45.14"," "
"2009/10","S92000003","d",1,"SMR04"," ","7550"," ","717.69"," ","5440"," ","517.12"," ","1105"," ","105.04"," "
"2009/10","S92000003","d",2,"SMR04"," ","5360"," ","509.08"," ","3955"," ","375.64"," ","930"," ","88.33"," "
"2009/10","S92000003","d",3,"SMR04"," ","3785"," ","359"," ","2815"," ","267"," ","880"," ","83.47"," "
"2009/10","S92000003","d",4,"SMR04"," ","2985"," ","284.1"," ","2305"," ","219.38"," ","655"," ","62.34"," "
"2009/10","S92000003","d",5,"SMR04"," ","2150"," ","210.37"," ","1630"," ","159.49"," ","455"," ","44.52"," "
"2010/11","S92000003","d",1,"SMR04"," ","7250"," ","675.11"," ","5190"," ","483.29"," ","1070"," ","99.64"," "
"2010/11","S92000003","d",2,"SMR04"," ","5220"," ","493"," ","3840"," ","362.67"," ","965"," ","91.14"," "
"2010/11","S92000003","d",3,"SMR04"," ","3705"," ","349.99"," ","2790"," ","263.56"," ","780"," ","73.68"," "
"2010/11","S92000003","d",4,"SMR04"," ","2780"," ","266.08"," ","2130"," ","203.86"," ","605"," ","57.9"," "
"2010/11","S92000003","d",5,"SMR04"," ","2045"," ","199.31"," ","1565"," ","152.52"," ","445"," ","43.37"," "
"2011/12","S92000003","d",1,"SMR04"," ","7085"," ","657.75"," ","5075"," ","471.15"," ","1000"," ","92.84"," "
"2011/12","S92000003","d",2,"SMR04"," ","5345"," ","501.48"," ","3870"," ","363.09"," ","885"," ","83.03"," "
"2011/12","S92000003","d",3,"SMR04"," ","3625"," ","339.24"," ","2710"," ","253.61"," ","785"," ","73.46"," "
"2011/12","S92000003","d",4,"SMR04"," ","2880"," ","272.5"," ","2165"," ","204.85"," ","550"," ","52.04"," "
"2011/12","S92000003","d",5,"SMR04"," ","1975"," ","191.48"," ","1515"," ","146.88"," ","410"," ","39.75"," "
"2012/13","S92000003","d",1,"SMR04"," ","6855"," ","637.03"," ","4945"," ","459.54"," ","950"," ","88.28"," "
"2012/13","S92000003","d",2,"SMR04"," ","5125"," ","481.07"," ","3790"," ","355.75"," ","910"," ","85.42"," "
