"FinancialYear","HBT","HBTQF","Dataset","DatasetQF","LengthOfStay","NumberOfStays"
"1997/98","SB0801"," ","SMR01"," ","< 1 day",0
"1997/98","SB0801"," ","SMR01"," ","1 - 7 days",0
"1997/98","SB0801"," ","SMR01"," ","8 - 28 days",0
"1997/98","SB0801"," ","SMR01"," ","29 days - 6 months",0
"1997/98","SB0801"," ","SMR01"," ","> 6 months",0
"1997/98","SB0801"," ","SMR04"," ","< 1 day",0
"1997/98","SB0801"," ","SMR04"," ","1 - 7 days",0
"1997/98","SB0801"," ","SMR04"," ","8 - 28 days",0
"1997/98","SB0801"," ","SMR04"," ","29 days - 6 months",0
"1997/98","SB0801"," ","SMR04"," ","> 6 months",0
"1997/98","SB0801"," ","Total","d","< 1 day",0
"1997/98","SB0801"," ","Total","d","1 - 7 days",0
"1997/98","SB0801"," ","Total","d","8 - 28 days",0
"1997/98","SB0801"," ","Total","d","29 days - 6 months",0
"1997/98","SB0801"," ","Total","d","> 6 months",0
"1997/98","S08000015"," ","SMR01"," ","< 1 day",220
"1997/98","S08000015"," ","SMR01"," ","1 - 7 days",460
"1997/98","S08000015"," ","SMR01"," ","8 - 28 days",135
"1997/98","S08000015"," ","SMR01"," ","29 days - 6 months",45
"1997/98","S08000015"," ","SMR01"," ","> 6 months",10
"1997/98","S08000015"," ","SMR04"," ","< 1 day",50
"1997/98","S08000015"," ","SMR04"," ","1 - 7 days",625
"1997/98","S08000015"," ","SMR04"," ","8 - 28 days",1080
"1997/98","S08000015"," ","SMR04"," ","29 days - 6 months",590
"1997/98","S08000015"," ","SMR04"," ","> 6 months",140
"1997/98","S08000015"," ","Total","d","< 1 day",270
"1997/98","S08000015"," ","Total","d","1 - 7 days",1085
"1997/98","S08000015"," ","Total","d","8 - 28 days",1210
"1997/98","S08000015"," ","Total","d","29 days - 6 months",640
"1997/98","S08000015"," ","Total","d","> 6 months",150
"1997/98","S08000016"," ","SMR01"," ","< 1 day",40
"1997/98","S08000016"," ","SMR01"," ","1 - 7 days",90
"1997/98","S08000016"," ","SMR01"," ","8 - 28 days",55
"1997/98","S08000016"," ","SMR01"," ","29 days - 6 months",35
"1997/98","S08000016"," ","SMR01"," ","> 6 months",0
"1997/98","S08000016"," ","SMR04"," ","< 1 day",10
"1997/98","S08000016"," ","SMR04"," ","1 - 7 days",200
"1997/98","S08000016"," ","SMR04"," ","8 - 28 days",230
"1997/98","S08000016"," ","SMR04"," ","29 days - 6 months",145
"1997/98","S08000016"," ","SMR04"," ","> 6 months",60
"1997/98","S08000016"," ","Total","d","< 1 day",45
"1997/98","S08000016"," ","Total","d","1 - 7 days",290
"1997/98","S08000016"," ","Total","d","8 - 28 days",285
"1997/98","S08000016"," ","Total","d","29 days - 6 months",180
"1997/98","S08000016"," ","Total","d","> 6 months",60
"1997/98","S08000017"," ","SMR01"," ","< 1 day",35
"1997/98","S08000017"," ","SMR01"," ","1 - 7 days",125
"1997/98","S08000017"," ","SMR01"," ","8 - 28 days",50
"1997/98","S08000017"," ","SMR01"," ","29 days - 6 months",15
"1997/98","S08000017"," ","SMR01"," ","> 6 months",0
