date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
2016-08-12,OEM,Tesla T4,Africa,3758,Gamers,Individual,1.9,155181.38,8,Low,1.33,12,0.22,63,62.62,310779731.3
2005-06-06,AI,Tesla T4,Africa,2845,Gamers,Business,2,132412.66,22,Low,3.31,87,0.16,68,38.21,308395742.46
2022-09-01,Data Center,RTX 3080,Africa,2296,Cloud Providers,Business,3.1,56472.56,5,Low,2.67,29,0.17,63,59.81,256863853953.82
2011-06-27,OEM,RTX 4090,Africa,2415,Cloud Providers,Business,1.3,117882.6,17,Low,2.94,52,0.06,62,55.7,292341151.18
2021-06-14,AI,RTX 3080,Africa,3653,AI Researchers,Individual,4.2,148717.1,15,Medium,3.6,84,0.06,59,57.59,45493027203.5
1994-10-03,AI,Quadro P2200,Africa,3982,Cloud Providers,Individual,2.3,21315.28,22,Low,3.53,89,0.19,86,62.69,1317787276.24
2004-02-01,AI,Tesla V100,Africa,4104,AI Researchers,Individual,4.5,176175.51,25,Medium,0.27,15,0.17,52,59.25,306597585.3
2014-07-22,AI,Tesla T4,Africa,4484,Educational Institutions,Business,3.5,31355.74,21,Low,4.3,46,0.23,65,34.68,309237476.29
2000-05-31,OEM,Tesla T4,Africa,847,AI Researchers,Business,1.3,100906.92,4,High,2.65,39,0.1,87,67.24,294200642.61
2011-08-14,OEM,Tesla T4,Africa,1979,Cloud Providers,Business,3.9,153585.7,0,Medium,1.99,16,0.21,82,49.59,305211477.17
2016-03-30,AI,Tesla V100,Africa,4812,Gamers,Business,4.4,80203.44,21,Low,1.28,10,0.13,83,36.79,304114460.07
2019-02-12,OEM,RTX 4090,Africa,3629,AI Researchers,Business,2.3,96222.89,17,Low,0.66,66,0.16,67,35.87,4550259698.55
2008-08-11,Gaming,RTX 3080,Africa,936,Cloud Providers,Individual,1.5,193110.78,14,Low,1.22,84,0.1,87,51.44,317597839.9
2011-07-23,Data Center,RTX 4090,Africa,1715,Gamers,Individual,4.6,26192.4,23,Low,1.26,58,0.27,81,47.83,297985694.91
2008-11-20,Data Center,RTX 3080,Africa,1087,Cloud Providers,Individual,2.8,27808.08,4,High,3.2,21,0.06,74,69.49,282693160.59
2001-06-26,AI,RTX 4090,Africa,2263,AI Researchers,Business,1.6,179115.01,25,High,0.53,64,0.29,59,33.1,307915057.58
2003-10-30,OEM,Quadro P2200,Africa,1128,Educational Institutions,Individual,2.1,76893.18,13,High,3.47,41,0.14,75,50.75,306260965.28
2012-01-21,Gaming,Tesla V100,Africa,4092,AI Researchers,Individual,4.6,57581.88,20,Low,4.31,58,0.3,88,51.46,318446183.99
