date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
2008-06-26,OEM,RTX 3080,APAC,3551,Cloud Providers,Individual,3.8,79772.88,5,Low,4.69,43,0.13,72,33.86,283344939.73
1997-08-31,AI,Tesla T4,APAC,1282,Cloud Providers,Business,4.5,49855.43,22,Medium,4.55,25,0.22,78,36.46,294004846.5
2019-10-20,Gaming,Quadro P2200,APAC,3125,Gamers,Business,4.5,77192.17,12,Medium,3.31,14,0.06,53,51.54,3727724347.69
2017-10-07,Data Center,Quadro P2200,APAC,719,Educational Institutions,Business,2.3,65685.91,0,Low,0.77,23,0.21,60,54.66,301238954.69
2024-04-09,AI,Quadro P2200,APAC,4810,Educational Institutions,Individual,2,35653.87,15,High,4.87,15,0.15,56,34.77,1006454201810.92
1995-05-30,Gaming,Quadro P2200,APAC,3369,Cloud Providers,Business,3,171354.11,22,High,3.6,39,0.1,52,50.72,319727656.87
1993-12-12,AI,Quadro P2200,APAC,323,Gamers,Business,3.9,106196.49,22,Low,1.26,18,0.27,68,38.27,1818877171.97
2000-09-05,AI,Tesla T4,APAC,2044,Cloud Providers,Individual,1.1,40396.41,3,High,0.33,83,0.12,74,46.59,282889309.79
2024-03-15,Gaming,Tesla V100,APAC,3040,Gamers,Business,4.4,53221.27,16,Low,1.99,62,0.08,55,65.88,1069446836869.33
2004-10-07,OEM,Quadro P2200,APAC,3070,Cloud Providers,Individual,5,188098.52,18,High,1.3,67,0.16,74,59.84,298320563.66
2012-10-24,Data Center,RTX 3080,APAC,1469,Educational Institutions,Business,4.7,180136.35,22,High,0.62,34,0.25,87,38.15,282579794.85
2013-10-22,AI,Quadro P2200,APAC,1056,AI Researchers,Individual,3.4,154355.34,4,Medium,2.64,32,0.16,70,51.55,289209888.12
2000-02-08,AI,RTX 4090,APAC,342,Gamers,Individual,4,35178.38,25,High,3.93,79,0.18,63,59.36,298093079.33
2005-06-29,Data Center,RTX 3080,APAC,1769,Educational Institutions,Business,4.8,195203.05,20,High,1.85,86,0.29,67,34.6,311589524.83
2003-04-12,Gaming,RTX 4090,APAC,611,AI Researchers,Business,4.9,93903.16,5,Low,4.17,28,0.1,73,47.11,304873376.12
2019-10-03,AI,RTX 4090,APAC,845,AI Researchers,Business,2.4,72778.4,11,Medium,3.87,63,0.25,83,40.05,6484920504.14
1999-08-13,Gaming,Tesla T4,APAC,4389,Educational Institutions,Business,3.6,144711.62,16,Low,2.86,45,0.18,76,49.99,297366898.72
1997-07-11,AI,Tesla V100,APAC,1967,Cloud Providers,Business,3.2,20190.72,2,Low,3.04,46,0.11,51,32.84,303852606.69
2015-04-20,Gaming,RTX 3080,APAC,3901,Educational Institutions,Individual,4.1,149775.1,6,Medium,4.48,86,0.29,58,46.62,308727569.85
2017-06-23,OEM,Tesla V100,APAC,1390,Educational Institutions,Business,2.8,137745.17,2,High,0.62,56,0.06,76,43.36,289312103.28
1996-09-01,Data Center,Quadro P2200,APAC,2506,Gamers,Individual,1.5,99643.91,16,Low,3.42,46,0.29,65,34.85,299429327.44
2024-01-07,AI,Tesla T4,APAC,1517,Cloud Providers,Business,3.9,151821.22,14,Medium,0.31,12,0.18,79,31.84,858032482644.84
2019-11-15,AI,RTX 4090,APAC,790,Gamers,Individual,2.1,140289.88,14,Low,1.7,85,0.27,76,51.55,7874782192.15
2003-09-07,Gaming,Tesla T4,APAC,286,Gamers,Business,3.6,61028.31,8,High,1.15,12,0.16,52,46.29,311276161.1
2016-04-24,Data Center,Tesla T4,APAC,521,Gamers,Business,4.4,63932.19,9,Low,2.74,14,0.12,86,36.37,292169905.28
2022-09-16,Gaming,Tesla T4,APAC,4249,AI Researchers,Business,3.8,188266.82,18,Medium,2.34,19,0.09,51,48.08,179666394247.62
2018-06-16,Gaming,RTX 3080,APAC,2266,AI Researchers,Business,2.7,135059.7,4,Low,1.36,34,0.11,54,50.94,1804406608.19
2021-07-26,Data Center,Quadro P2200,APAC,3290,Gamers,Individual,2.6,27491.48,17,Medium,0.68,76,0.24,76,61.33,41817598298.94
2012-05-30,AI,Tesla T4,APAC,2698,AI Researchers,Individual,1.2,66400.55,21,Medium,3.85,82,0.3,80,42.95,288982778.23
2009-05-20,AI,Tesla T4,APAC,4331,AI Researchers,Business,1.4,179432.44,10,High,0.48,24,0.05,71,43.96,282473072.15
1994-10-20,AI,Tesla T4,APAC,2873,Cloud Providers,Individual,2.9,197459.06,18,Medium,2.47,84,0.12,74,38.76,1013801316.66
1996-10-15,Gaming,Tesla V100,APAC,3187,Gamers,Individual,4.4,113576.09,9,Low,2.97,56,0.11,57,37.72,318780149.8
2017-09-30,Gaming,RTX 3080,APAC,3267,AI Researchers,Individual,4.5,165712.25,5,High,3.51,67,0.09,71,57.33,306880752.68
2014-09-05,AI,RTX 3080,APAC,2418,Cloud Providers,Individual,2.1,167275.74,5,Medium,1.29,15,0.19,62,47.08,318673920.04
2017-06-30,Gaming,Quadro P2200,APAC,654,Educational Institutions,Business,5,111534.48,12,High,1.89,54,0.25,73,54.75,313730372.43
1996-02-27,Gaming,Tesla T4,APAC,2467,Educational Institutions,Business,2.7,196122.37,10,High,0.73,15,0.13,51,32.93,298008579.02
2013-09-06,Gaming,Tesla V100,APAC,3164,Cloud Providers,Individual,1.5,89700.45,19,Medium,0.94,83,0.24,70,35.57,317920401.26
2013-08-14,Data Center,Tesla V100,APAC,2088,Gamers,Individual,1.9,128203.93,15,Low,4.37,73,0.2,73,68.65,313914316.07
2021-08-28,OEM,RTX 4090,APAC,4840,Gamers,Individual,2,189547.35,20,Medium,2.26,80,0.16,82,57.36,54174222857.35
2005-01-09,OEM,RTX 3080,APAC,4114,Cloud Providers,Individual,4.6,85144.46,19,High,4.41,90,0.15,87,65.27,292501812.45
2001-04-22,OEM,Tesla V100,APAC,675,AI Researchers,Business,2.6,132887.44,13,High,0.25,38,0.21,62,45.54,310936408.14
2009-06-26,AI,RTX 4090,APAC,4891,Cloud Providers,Individual,3.4,85203.13,20,Medium,3.4,42,0.18,84,32.51,283195391.98
2004-02-15,Data Center,Quadro P2200,APAC,3625,AI Researchers,Business,1.9,62647.25,3,High,1.84,21,0.25,81,47.88,315567622.5
2024-09-20,AI,Tesla T4,APAC,2133,AI Researchers,Business,1.4,55420.28,9,Low,3.14,45,0.24,62,42.82,1116511737564.52
1995-04-15,Data Center,RTX 3080,APAC,3402,Gamers,Business,1.3,95083.69,23,Medium,2.65,29,0.22,83,60.38,303642907.05
2000-03-07,OEM,RTX 3080,APAC,4657,Gamers,Individual,4.6,73761.9,6,Medium,4,10,0.09,73,64.78,287565237.19
2024-02-28,Gaming,RTX 4090,APAC,2111,Cloud Providers,Individual,3.4,138022.42,15,Medium,4.87,74,0.23,85,68.96,890507133257.96
1998-09-23,OEM,Tesla T4,APAC,1007,AI Researchers,Business,1.2,43343.25,14,High,4.27,29,0.27,80,38.12,287068727.49
2005-04-08,Data Center,Tesla T4,APAC,1246,AI Researchers,Individual,1.6,145803.33,20,Low,3.43,27,0.12,58,57.26,280549388.35
2015-02-12,Gaming,RTX 3080,APAC,2042,Gamers,Individual,1.6,117822.3,5,High,1.29,65,0.14,90,67.46,316060195.21
1999-11-19,OEM,Tesla V100,APAC,1912,Gamers,Business,1.4,47994.95,0,Low,4.37,89,0.12,73,54.67,318753422.39
1996-09-23,OEM,Tesla V100,APAC,2013,Cloud Providers,Business,4.9,181990.49,22,High,2.84,68,0.2,62,30.75,300762363.74
2013-01-26,AI,RTX 4090,APAC,3670,Educational Institutions,Individual,2,32220.6,23,Low,3.99,89,0.14,52,30.61,318431073.36
2011-09-21,AI,Tesla T4,APAC,3291,Cloud Providers,Individual,3.5,55255.9,23,Low,1.1,13,0.22,90,68.28,294182891.41
2005-04-15,Gaming,RTX 3080,APAC,1123,Gamers,Business,1.1,179570.57,25,Low,0.88,69,0.12,90,50.63,301168770.06
