date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
2019-05-08,AI,RTX 4090,Europe,1875,AI Researchers,Business,1.3,156854.4,10,Low,4.12,10,0.28,80,69.77,6043866348.41
1996-07-17,Gaming,RTX 4090,Europe,1571,AI Researchers,Business,4,165636.07,15,Medium,0.58,48,0.12,63,59.26,287754632.99
2023-11-18,Gaming,Tesla V100,Europe,2129,AI Researchers,Business,2.7,46796.5,18,Medium,2.6,35,0.1,80,55.23,277951339106.67
2008-02-17,AI,RTX 3080,Europe,3739,Cloud Providers,Business,1,96384.06,21,Medium,4.21,29,0.27,71,67.01,281800449.79
1999-02-22,Gaming,RTX 3080,Europe,783,Gamers,Individual,2.5,65968.03,15,Medium,0.33,11,0.18,78,64.36,313760301.3
2020-05-03,Data Center,Quadro P2200,Europe,494,Gamers,Individual,1.2,28699.7,10,Medium,2.78,55,0.27,51,37.24,4900304500.52
2007-10-08,Data Center,Tesla V100,Europe,1779,AI Researchers,Business,4.2,20857.92,19,Low,4.58,21,0.27,68,59.37,317845477.8
2002-07-19,OEM,Tesla V100,Europe,3441,AI Researchers,Business,3.8,47050.38,13,Low,1.47,43,0.24,77,52.93,318751463.64
2024-10-01,OEM,RTX 3080,Europe,1118,Gamers,Individual,1.8,60091.72,3,Low,3.65,26,0.09,65,30.49,852077995613.21
2018-09-07,Gaming,Quadro P2200,Europe,1304,Educational Institutions,Individual,4.8,23485.63,1,High,4.99,78,0.21,62,32.51,1416771254.98
2016-10-11,Gaming,Quadro P2200,Europe,4931,AI Researchers,Business,2.2,103431.06,22,Medium,0.19,75,0.09,81,41.78,298935628.42
2007-10-09,Gaming,Quadro P2200,Europe,1047,Educational Institutions,Business,3.1,140822.92,8,Medium,0.54,39,0.26,83,62.4,318453994.91
2007-04-05,OEM,Tesla T4,Europe,484,Gamers,Individual,1.6,26469.09,4,Medium,4.39,44,0.06,81,52.41,282492714.77
1997-02-02,OEM,Quadro P2200,Europe,924,Gamers,Individual,4.7,144028.44,1,Low,1.03,79,0.12,66,41.68,315744559.96
2023-08-13,Data Center,Tesla V100,Europe,1578,AI Researchers,Individual,3.9,64577.02,1,Medium,2.72,90,0.06,51,54.05,540465203876.96
2004-01-20,AI,RTX 4090,Europe,4864,Educational Institutions,Individual,3.4,125956.27,19,Medium,0.54,88,0.21,79,48.81,304924470.73
2011-03-30,OEM,Quadro P2200,Europe,534,Cloud Providers,Individual,1.7,50364.89,21,Low,4.57,46,0.09,57,51.29,290428344.72
2020-04-10,Data Center,Quadro P2200,Europe,4681,Gamers,Business,3.3,64057.79,13,Low,2.87,58,0.09,58,60.22,7417955610.2
1999-04-02,Gaming,RTX 3080,Europe,646,Educational Institutions,Individual,4.5,127459.9,10,Low,0.27,83,0.29,51,33.55,302303764.78
2000-08-16,Gaming,Tesla V100,Europe,403,Educational Institutions,Individual,4.7,162295.41,21,Low,3.14,70,0.25,53,32.29,298261681.39
2007-11-07,OEM,Quadro P2200,Europe,2815,AI Researchers,Business,4.8,195054.43,15,Medium,3.64,19,0.19,54,62.45,302069902
2009-11-16,OEM,Tesla V100,Europe,536,Educational Institutions,Individual,2.8,91180.29,19,Medium,2.65,27,0.28,87,69.99,301375207.89
2007-02-26,Gaming,RTX 3080,Europe,2156,Educational Institutions,Individual,2,58824.94,13,Low,0.99,10,0.06,89,53.32,319830677.25
1993-06-29,OEM,RTX 4090,Europe,1295,Cloud Providers,Business,1.2,122731.27,10,Low,3.86,27,0.27,84,46.25,1494596057.18
2010-10-28,OEM,Tesla V100,Europe,1666,Cloud Providers,Business,3.8,22002.56,11,Medium,0.22,79,0.24,81,30.61,298219269.77
2021-03-24,AI,Quadro P2200,Europe,4967,Gamers,Business,2.6,195758.51,22,Medium,1.14,16,0.13,80,61.84,59579154847.62
2011-02-14,Data Center,Quadro P2200,Europe,4527,Cloud Providers,Business,2.1,117081.74,25,Low,4.27,82,0.16,61,49.71,305662817.25
2004-12-12,Data Center,Tesla V100,Europe,583,Cloud Providers,Business,4,176814.42,3,Low,4.24,67,0.29,58,63.42,303735861.9
1995-11-15,Gaming,Tesla T4,Europe,1683,Educational Institutions,Business,4.3,150756.7,19,Low,0.21,22,0.26,54,31.03,307281076.61
2001-11-12,Data Center,RTX 4090,Europe,1620,Cloud Providers,Individual,4.1,35697.74,17,Medium,2.3,67,0.08,54,48.31,287397668.29
1994-01-24,Data Center,Quadro P2200,Europe,1518,Gamers,Individual,3.5,73720.9,0,High,2.65,16,0.25,55,53.72,1880046701.68
1996-12-03,OEM,Tesla T4,Europe,545,AI Researchers,Business,4.9,83367.07,2,Medium,4.41,52,0.26,74,30.71,303563937.03
2001-02-03,OEM,Quadro P2200,Europe,3230,Cloud Providers,Business,2.1,107332.1,17,Medium,4.48,50,0.18,55,62.68,302724312.3
2004-07-07,Gaming,Quadro P2200,Europe,1519,Cloud Providers,Individual,4.2,70229,13,High,3.98,27,0.14,55,38.37,283902255.43
2015-01-10,Gaming,Tesla V100,Europe,3204,Educational Institutions,Individual,2.9,157695.33,23,Medium,1.61,73,0.07,78,55.49,310966492.78
1993-08-03,Data Center,Tesla V100,Europe,4742,AI Researchers,Individual,1.1,61612.11,22,High,2.09,67,0.16,71,34.75,1604241705.81
1997-05-25,AI,RTX 3080,Europe,4223,AI Researchers,Individual,3.2,132486.37,20,Medium,2.87,71,0.1,72,43.13,283687017.2
1996-01-17,OEM,RTX 3080,Europe,938,AI Researchers,Business,1.5,78719.87,4,High,3.76,31,0.22,64,42.86,282121147.25
2023-02-15,Data Center,RTX 4090,Europe,105,Cloud Providers,Individual,1.1,152210.99,16,High,3.48,64,0.18,65,65.04,397281224013.17
2020-12-04,OEM,Tesla V100,Europe,2105,Educational Institutions,Individual,2.1,21522.09,21,Low,4.28,38,0.26,72,68.99,2919242906.75
2017-05-31,AI,RTX 4090,Europe,2167,Educational Institutions,Business,1.2,153422.98,12,Medium,0.81,45,0.15,69,43.53,303080853.72
