date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
1995-07-02,OEM,Tesla V100,Middle East,4978,Cloud Providers,Individual,4.2,136191.16,19,Medium,2.69,75,0.28,88,63.38,297383183.3
2023-03-02,AI,Tesla V100,Middle East,4357,Gamers,Individual,1.3,20870.75,17,Low,3.3,85,0.2,63,50.63,333544719513.45
2020-05-06,Data Center,Quadro P2200,Middle East,4555,Educational Institutions,Business,2,119480.06,4,Low,3.68,22,0.23,52,63.26,2321612967.99
2018-06-17,Gaming,RTX 4090,Middle East,1291,AI Researchers,Business,4.8,15056.91,9,Low,4.51,26,0.14,90,57.48,1493339213.45
2022-12-29,Data Center,RTX 3080,Middle East,109,AI Researchers,Business,4.2,168657.59,3,Low,0.25,30,0.22,74,40.62,204165952776.46
2000-09-04,AI,RTX 3080,Middle East,101,Gamers,Business,1.3,153408.72,12,Medium,4.13,22,0.27,50,64.3,316013864.5
2018-02-26,Data Center,Tesla T4,Middle East,3245,AI Researchers,Individual,4.8,177012.81,3,High,2.37,76,0.19,76,36.7,1363710699.04
1997-04-11,OEM,Tesla T4,Middle East,1678,Gamers,Individual,3.6,199205.8,14,Medium,4.05,13,0.12,62,63.46,283606881.67
2006-05-10,OEM,RTX 3080,Middle East,281,AI Researchers,Individual,4.8,24756.92,22,Low,0.23,24,0.19,71,57.06,285647514
2022-01-23,OEM,Tesla T4,Middle East,4501,Cloud Providers,Business,1.9,46752.8,3,Low,0.31,29,0.12,81,54.66,279013242646.06
2003-02-24,Gaming,RTX 3080,Middle East,4195,Educational Institutions,Business,2.1,49182.37,18,High,3.67,66,0.27,50,38.35,289498918.87
2011-05-25,OEM,RTX 3080,Middle East,3810,Educational Institutions,Individual,2.7,158949.23,10,High,0.57,20,0.26,51,66.89,293522633.28
2019-07-23,Data Center,Tesla V100,Middle East,2931,Cloud Providers,Individual,3.1,21331.43,2,High,4.21,26,0.23,66,53.88,4783136748.55
1994-05-05,Gaming,Quadro P2200,Middle East,2440,Educational Institutions,Business,4.5,101310.4,5,High,2.11,79,0.24,56,61.72,1309234944.93
2019-02-23,AI,Tesla T4,Middle East,2661,AI Researchers,Individual,2.4,87248.81,25,Low,0.9,34,0.16,81,61.92,3076322285.23
2000-06-01,OEM,RTX 4090,Middle East,4697,AI Researchers,Individual,3.4,140918.13,19,High,4.63,68,0.2,73,34.27,311308537.68
2011-12-05,AI,Tesla V100,Middle East,2769,Cloud Providers,Individual,4.2,158238.98,6,Medium,3.53,87,0.14,73,30.26,312852597.51
2016-07-30,AI,RTX 4090,Middle East,260,Educational Institutions,Individual,1,149867.52,11,High,4.81,43,0.16,73,50.82,302209417.4
2023-09-11,AI,Tesla T4,Middle East,3954,Cloud Providers,Individual,1.4,16830.84,16,Low,4.41,18,0.26,88,62.36,584272618268.77
2005-10-22,Gaming,RTX 3080,Middle East,2336,Gamers,Individual,3,35886.93,21,Medium,4.45,63,0.1,63,44.45,306903705.04
