date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
2003-11-20,Gaming,Tesla V100,North America,1534,AI Researchers,Business,1.4,77827.64,5,High,3.83,11,0.12,90,68.23,285342260.09
2006-06-17,Data Center,RTX 3080,North America,2114,Cloud Providers,Individual,4.4,49249.93,24,Low,2.59,36,0.18,87,57.93,288292121.41
2004-12-18,AI,RTX 4090,North America,2805,AI Researchers,Business,4.9,33747.76,8,High,2.01,85,0.25,79,69.06,298929259.87
2002-02-03,Data Center,RTX 3080,North America,4462,Gamers,Business,3.6,93586.68,12,Low,1.28,89,0.17,61,32.26,313993177.7
1996-06-10,Gaming,Tesla V100,North America,1588,Educational Institutions,Business,3.3,76653.18,20,Low,2,69,0.21,62,32.92,319852431.41
2004-07-26,Gaming,Quadro P2200,North America,3688,AI Researchers,Business,2,49119.57,7,Low,3.89,18,0.13,64,69.16,317372504.8
1995-03-17,Data Center,Tesla V100,North America,3068,Cloud Providers,Business,2.9,161158.89,14,High,4.41,69,0.2,58,31.84,317629572.76
1999-10-29,AI,Quadro P2200,North America,2600,Educational Institutions,Individual,2.9,186293.12,19,Low,0.22,11,0.28,86,33.87,281690791.74
2017-02-28,AI,Quadro P2200,North America,4098,Educational Institutions,Business,1.9,60110.72,15,Low,4.85,78,0.3,67,49.68,312156938
2020-04-17,AI,RTX 3080,North America,964,Cloud Providers,Individual,2.1,123826.87,18,Medium,1.73,72,0.06,62,56.43,5816109779.63
2007-04-10,Gaming,Tesla T4,North America,474,Educational Institutions,Individual,2.9,41742.91,2,Medium,4.12,62,0.23,63,49.48,300235838.69
1998-02-04,OEM,Tesla V100,North America,2584,AI Researchers,Business,4.9,15675.87,12,Medium,0.84,28,0.2,52,41.64,302317396.41
2014-01-01,Gaming,Quadro P2200,North America,2867,AI Researchers,Business,2.6,94840.48,5,Low,4.33,48,0.26,85,67.19,300364443.34
2009-06-01,OEM,Tesla T4,North America,868,Educational Institutions,Individual,5,116894.93,4,Low,2.92,63,0.24,56,62.93,295869439.8
2016-07-29,Data Center,Quadro P2200,North America,624,Educational Institutions,Business,4.5,84802.8,4,High,4.04,25,0.09,71,66.99,281068048.27
2002-08-24,Data Center,Quadro P2200,North America,1085,Cloud Providers,Business,2.3,159393.5,25,High,0.19,32,0.14,83,54.12,313574381.64
1997-08-22,AI,Tesla V100,North America,3457,Educational Institutions,Individual,2.1,113041.15,25,High,1.27,76,0.25,68,58.44,290864862.34
2002-09-13,AI,Quadro P2200,North America,2135,AI Researchers,Business,4,148466.97,13,Medium,4.89,86,0.29,87,35.16,302287936.08
2023-04-22,Gaming,RTX 3080,North America,3033,Cloud Providers,Individual,3.7,153988.13,10,Low,4.94,61,0.15,79,45.47,478561692608.31
2012-06-21,Data Center,RTX 3080,North America,515,Cloud Providers,Business,4.7,177636.53,2,Medium,1.67,46,0.07,87,33.12,310516386.36
2002-10-01,OEM,RTX 4090,North America,4101,Gamers,Individual,3.7,112869.02,9,High,3.44,69,0.08,68,47.89,289826546.22
2022-06-19,AI,Tesla T4,North America,2084,AI Researchers,Individual,4,199403.51,7,Medium,4.87,34,0.07,78,59.65,153219830758.62
1999-08-16,Gaming,RTX 3080,North America,2831,Gamers,Individual,4.4,89521.28,6,Medium,4.5,61,0.14,66,58.65,312215349.18
1997-08-30,OEM,Quadro P2200,North America,1289,AI Researchers,Individual,4.6,152455.82,22,Low,1.53,72,0.06,78,41.03,304369000.78
2021-09-17,OEM,Tesla T4,North America,1291,Cloud Providers,Business,5,60004.48,3,Medium,0.91,49,0.29,67,63.33,68323862185.72
1997-07-25,AI,Tesla T4,North America,1755,Gamers,Individual,1,114209.73,6,Low,2.94,14,0.22,53,61.02,296799746.34
2019-03-31,AI,Quadro P2200,North America,1817,Cloud Providers,Individual,3.4,190439.13,1,Medium,1.76,41,0.28,84,46.28,7501223253.98
2015-07-09,OEM,Quadro P2200,North America,3957,Educational Institutions,Individual,3.8,131803.23,0,High,4.02,14,0.22,71,61.02,318324752.87
2021-08-01,Data Center,Tesla T4,North America,4395,Gamers,Individual,1,76376.31,18,High,2.22,15,0.18,73,37.47,62529583333.53
1994-11-22,Gaming,Tesla T4,North America,1808,Gamers,Individual,3.7,164318.49,10,High,2.97,13,0.16,63,55.88,1919764632.92
2020-02-01,AI,Tesla T4,North America,4808,Educational Institutions,Individual,2,10187.78,19,Low,0.72,37,0.23,89,59.4,5466603902.21
2009-10-15,Data Center,RTX 4090,North America,3187,AI Researchers,Business,4.4,51513.54,7,High,3,83,0.15,89,59.15,304496651.73
2018-01-10,Gaming,RTX 4090,North America,4939,AI Researchers,Individual,1.8,62286.82,20,High,4.64,31,0.28,50,47.59,1280882325.27
1996-10-11,AI,RTX 3080,North America,2322,Gamers,Individual,2.3,12671.37,7,High,2.05,87,0.16,89,68.21,301623933.56
2009-12-21,Gaming,Quadro P2200,North America,4681,AI Researchers,Individual,2.6,197782.05,3,Medium,2.16,20,0.15,80,34,302456629.91
2010-01-04,AI,Quadro P2200,North America,3974,Cloud Providers,Business,1.7,98222.86,6,Low,1.43,21,0.16,53,32.91,284276148.6
2015-11-02,Data Center,Quadro P2200,North America,1129,Gamers,Individual,3.1,60702.76,17,High,4.53,84,0.11,73,47.09,292736483.76
2009-10-02,Data Center,Quadro P2200,North America,613,AI Researchers,Business,4.7,72786.56,16,Low,1.29,45,0.18,51,32.84,295464729.26
1994-10-31,AI,Quadro P2200,North America,1988,Cloud Providers,Individual,1.6,73762.75,6,Medium,4.95,42,0.22,61,49.54,1008080950.29
1999-11-29,AI,Tesla T4,North America,4886,AI Researchers,Individual,4.1,68081.99,11,High,4.42,33,0.15,65,34.47,299326556.7
2010-02-15,AI,RTX 4090,North America,3413,Cloud Providers,Business,2.9,179666.75,20,Low,1.6,68,0.1,79,56.71,293736641.75
2023-08-08,Gaming,Tesla T4,North America,3726,AI Researchers,Individual,4.5,174960.75,10,High,1.84,16,0.18,52,52.29,461945668075.84
2021-11-02,Data Center,RTX 3080,North America,2903,Cloud Providers,Business,2.1,31037.11,14,High,3.85,59,0.13,58,34.29,55619623548.56
1996-04-10,Data Center,Tesla T4,North America,1252,Educational Institutions,Individual,1.1,127318.92,0,Low,4.28,73,0.08,62,33.76,294168371.22
2018-12-22,Data Center,RTX 3080,North America,3404,Educational Institutions,Individual,1.7,189861.36,18,Medium,0.5,78,0.24,52,43.65,1977321663.33
2012-10-26,Data Center,Quadro P2200,North America,1937,Cloud Providers,Business,4.3,66528.55,13,Medium,1.38,66,0.17,52,53.67,288046871.53
1993-04-15,Gaming,RTX 4090,North America,4962,Educational Institutions,Business,2.1,57931.47,14,High,3.81,13,0.26,75,34.79,1736551399.64
