date,product_category,product_name,region,units_sold,customer_segment,customer_type,customer_satisfaction,marketing_spend_usd,discount_percentage_percent,competitor_influence,return_rate_percent,ai_ml_adoption_rate_percent,ad_campaign_effectiveness,customer_retention_rate_percent,market_share_percent,sales_revenue_usd
2002-08-28,AI,RTX 3080,South America,592,Gamers,Individual,1.4,155675.34,24,Medium,4.9,14,0.16,63,42.57,301469674.07
2007-12-09,AI,Tesla T4,South America,4767,Educational Institutions,Individual,2.3,21000.84,8,Medium,2.87,55,0.06,85,47.42,281427910.22
2013-12-02,Gaming,Tesla V100,South America,1798,Cloud Providers,Individual,4.1,32881.35,2,High,2.08,52,0.24,80,56.76,302746513.63
2022-10-25,OEM,RTX 4090,South America,2885,Cloud Providers,Business,3,173272.75,18,Medium,2.42,74,0.27,83,63.62,233172531200.67
2021-02-24,AI,RTX 4090,South America,4104,Cloud Providers,Individual,4.5,133673.51,7,Medium,1.13,59,0.08,84,62.29,54128824027.54
1998-04-29,Gaming,Quadro P2200,South America,667,Gamers,Business,4.2,199527.94,21,Medium,2.4,46,0.13,67,42.36,314174553.17
2000-01-17,AI,Tesla T4,South America,643,Cloud Providers,Individual,2.7,82363.03,4,High,1.41,38,0.24,77,63.92,304206588.59
2009-05-01,AI,RTX 3080,South America,3155,Gamers,Individual,4.3,54493.94,22,Medium,3.89,15,0.25,50,40.94,311565409.91
2022-01-18,AI,Tesla V100,South America,4611,AI Researchers,Business,3.4,107764.96,24,Medium,3.75,80,0.2,74,64.91,175963511482.95
2015-09-30,AI,Quadro P2200,South America,4523,Educational Institutions,Individual,1.3,116185.7,16,High,0.79,35,0.23,82,65.24,292357078.37
2017-10-02,OEM,Tesla V100,South America,2681,Gamers,Business,3.5,109518.34,23,Low,3.18,11,0.22,89,40.19,294308318.41
1997-11-17,AI,Tesla T4,South America,3803,Gamers,Business,3.5,150910.8,2,Medium,4.12,57,0.27,57,37.62,294275564.58
2004-11-07,AI,Tesla V100,South America,4468,Educational Institutions,Individual,4.4,149001.85,11,High,3.87,80,0.15,62,47.24,287440288.18
2006-09-05,Data Center,Quadro P2200,South America,4327,AI Researchers,Business,3.3,96100.64,16,Medium,1.41,68,0.27,75,59.63,294795848.4
1996-04-29,Gaming,Tesla T4,South America,2308,Educational Institutions,Business,3.4,66921.14,19,Low,1.09,48,0.13,79,50.67,311291017.29
1995-06-16,OEM,Quadro P2200,South America,804,Gamers,Business,3.6,167687.88,2,Low,1.78,36,0.2,55,67.1,304111059.87
2017-09-20,Gaming,Quadro P2200,South America,1746,Gamers,Business,4.5,128139.48,4,Medium,1.69,74,0.11,51,36.43,287954438.27
2013-05-03,Gaming,Tesla V100,South America,3020,AI Researchers,Individual,3.6,128479.68,5,Medium,1.23,36,0.21,79,67.75,291003763.73
2001-06-05,OEM,Tesla T4,South America,4382,Gamers,Business,3.3,91194.84,2,Low,2.76,30,0.2,59,50.92,284066751.14
1999-01-08,Data Center,Quadro P2200,South America,741,Gamers,Business,4.8,37378.44,6,Medium,2.45,76,0.08,60,51.12,282860400.96
2008-08-01,AI,Tesla T4,South America,993,Cloud Providers,Individual,3.6,187231.75,5,Low,1.35,41,0.16,85,68.46,311949305.34
2003-03-25,Gaming,RTX 3080,South America,3022,Educational Institutions,Business,2.1,175160.04,16,High,1.1,59,0.26,53,57.34,309003582.43
2005-12-03,Data Center,Quadro P2200,South America,2224,AI Researchers,Individual,3.3,189158.94,2,High,2.31,22,0.13,52,61.23,310704329.89
2008-04-10,AI,Tesla T4,South America,1474,AI Researchers,Business,1.6,194979.05,25,Low,1.56,65,0.28,50,49.37,314436762.8
2013-08-14,AI,RTX 4090,South America,3940,Educational Institutions,Individual,2,124863.86,11,High,4.03,88,0.07,69,30.31,290082555.35
2006-05-04,Data Center,Tesla T4,South America,4989,Gamers,Individual,2,162722.21,12,Low,2.18,53,0.1,79,35.24,310606692.42
2018-12-03,OEM,RTX 4090,South America,486,AI Researchers,Business,1.1,118950.77,1,Medium,1.34,16,0.17,77,36.29,1453563274.49
2022-12-24,Data Center,Tesla V100,South America,4940,Gamers,Business,2.3,186330.69,0,Medium,4.58,30,0.07,90,35.04,278060445682.56
2024-06-17,Data Center,Tesla T4,South America,717,AI Researchers,Business,3.4,127322.94,24,High,0.73,64,0.24,83,44.38,862167177910.94
2012-08-20,OEM,Quadro P2200,South America,4798,Cloud Providers,Individual,1.6,144233.53,20,High,0.99,28,0.27,67,52.35,316251173.38
2000-12-31,Data Center,RTX 3080,South America,1991,Educational Institutions,Individual,4.6,62750.25,4,High,0.39,68,0.16,90,46.31,302261904.26
2012-11-10,Gaming,RTX 3080,South America,475,Educational Institutions,Individual,4.2,184719.73,5,High,0.2,11,0.25,69,45.98,289267112.26
1995-12-01,AI,Tesla V100,South America,4828,AI Researchers,Individual,1.4,58082.8,5,High,4.23,24,0.22,53,30.02,314047921.32
2020-05-11,Gaming,Tesla V100,South America,3022,Gamers,Business,3.3,183705.44,0,Medium,4.15,73,0.16,74,42.59,4596694851.73
2016-05-28,Gaming,Tesla T4,South America,4221,Cloud Providers,Business,3.6,42183.92,21,High,3,72,0.26,55,32.64,299317754.97
2006-03-10,Data Center,Quadro P2200,South America,4711,Educational Institutions,Business,2.5,99001.25,9,Medium,1.46,34,0.27,77,66.21,319461278.36
2022-01-11,Gaming,RTX 3080,South America,4852,Gamers,Individual,3.1,196743.45,21,High,0.71,39,0.08,60,61.7,268634719077.74
2023-08-13,Data Center,RTX 4090,South America,569,Educational Institutions,Individual,3.1,145532.9,22,High,1.6,21,0.16,70,46.47,535159214634.75
2006-04-16,AI,Tesla T4,South America,780,AI Researchers,Individual,1.9,123010.39,14,Medium,2.23,40,0.27,56,34.88,283062248.55
2002-02-06,AI,Tesla V100,South America,1173,AI Researchers,Individual,2.2,66260.38,16,High,3.43,76,0.19,84,65.38,290321400.45
2011-02-17,AI,Quadro P2200,South America,4771,Cloud Providers,Individual,2.5,142671.13,2,Medium,1.91,50,0.09,85,50.15,291376720.2
2015-06-27,Data Center,RTX 3080,South America,3819,Educational Institutions,Individual,2.2,67898.64,23,Low,1.87,31,0.08,60,30.1,308155655.54
2022-10-06,AI,Tesla T4,South America,938,AI Researchers,Individual,1.2,41007.11,10,High,1.89,61,0.17,58,51.29,255340955350.31
2020-11-06,Gaming,Tesla V100,South America,4620,Educational Institutions,Individual,3.9,142081.62,13,High,3.82,84,0.21,62,63.01,3996823571.24
2021-02-22,OEM,RTX 3080,South America,4134,Gamers,Individual,4.4,88418.42,11,Medium,0.12,87,0.1,90,47.52,55660622216.78
